zip,county
6390,Suffolk
10001,New York
10002,New York
10003,New York
10004,New York
10005,New York
10006,New York
10007,New York
10009,New York
10010,New York
10011,New York
10012,New York
10013,New York
10014,New York
10016,New York
10017,New York
10018,New York
10019,New York
10020,New York
10021,New York
10022,New York
10023,New York
10024,New York
10025,New York
10026,New York
10027,New York
10028,New York
10029,New York
10030,New York
10031,New York
10032,New York
10033,New York
10034,New York
10035,New York
10036,New York
10037,New York
10038,New York
10039,New York
10040,New York
10041,New York
10044,New York
10048,New York
10069,New York
10103,New York
10111,New York
10112,New York
10115,New York
10119,New York
10128,New York
10152,New York
10153,New York
10154,New York
10162,New York
10165,New York
10167,New York
10169,New York
10170,New York
10171,New York
10172,New York
10173,New York
10177,New York
10271,New York
10278,New York
10279,New York
10280,New York
10282,New York
10301,Richmond
10302,Richmond
10303,Richmond
10304,Richmond
10305,Richmond
10306,Richmond
10307,Richmond
10308,Richmond
10309,Richmond
10310,Richmond
10312,Richmond
10314,Richmond
10451,Bronx
10452,Bronx
10453,Bronx
10454,Bronx
10455,Bronx
10456,Bronx
10457,Bronx
10458,Bronx
10459,Bronx
10460,Bronx
10461,Bronx
10462,Bronx
10463,Bronx
10464,Bronx
10465,Bronx
10466,Bronx
10467,Bronx
10468,Bronx
10469,Bronx
10470,Bronx
10471,Bronx
10472,Bronx
10473,Bronx
10474,Bronx
10475,Bronx
10501,Westchester
10502,Westchester
10503,Westchester
10504,Westchester
10506,Westchester
10507,Westchester
10509,Putnam
10510,Westchester
10511,Westchester
10512,Putnam
10514,Westchester
10516,Putnam
10518,Westchester
10519,Westchester
10520,Westchester
10522,Westchester
10523,Westchester
10524,Putnam
10526,Westchester
10527,Westchester
10528,Westchester
10530,Westchester
10532,Westchester
10533,Westchester
10535,Westchester
10536,Westchester
10537,Putnam
10538,Westchester
10541,Putnam
10543,Westchester
10546,Westchester
10547,Westchester
10548,Westchester
10549,Westchester
10550,Westchester
10552,Westchester
10553,Westchester
10560,Westchester
10562,Westchester
10566,Westchester
10567,Westchester
10570,Westchester
10573,Westchester
10576,Westchester
10577,Westchester
10578,Westchester
10579,Putnam
10580,Westchester
10583,Westchester
10588,Westchester
10589,Westchester
10590,Westchester
10591,Westchester
10594,Westchester
10595,Westchester
10597,Westchester
10598,Westchester
10601,Westchester
10603,Westchester
10604,Westchester
10605,Westchester
10606,Westchester
10607,Westchester
10701,Westchester
10703,Westchester
10704,Westchester
10705,Westchester
10706,Westchester
10707,Westchester
10708,Westchester
10709,Westchester
10710,Westchester
10801,Westchester
10803,Westchester
10804,Westchester
10805,Westchester
10901,Rockland
10913,Rockland
10916,Orange
10917,Orange
10918,Orange
10919,Orange
10920,Rockland
10921,Orange
10923,Rockland
10924,Orange
10925,Orange
10926,Orange
10927,Rockland
10928,Orange
10930,Orange
10931,Rockland
10940,Orange
10941,Orange
10950,Orange
10952,Rockland
10954,Rockland
10956,Rockland
10958,Orange
10960,Rockland
10962,Rockland
10963,Orange
10964,Rockland
10965,Rockland
10968,Rockland
10969,Orange
10970,Rockland
10973,Orange
10974,Rockland
10975,Orange
10976,Rockland
10977,Rockland
10980,Rockland
10983,Rockland
10984,Rockland
10985,Orange
10986,Rockland
10987,Orange
10989,Rockland
10990,Orange
10992,Orange
10993,Rockland
10994,Rockland
10996,Orange
10998,Orange
11001,Nassau
11003,Nassau
11004,Queens
11005,Queens
11010,Nassau
11020,Nassau
11021,Nassau
11023,Nassau
11024,Nassau
11030,Nassau
11040,Nassau
11042,Nassau
11050,Nassau
11096,Nassau
11101,Queens
11102,Queens
11103,Queens
11104,Queens
11105,Queens
11106,Queens
11201,Kings
11203,Kings
11204,Kings
11205,Kings
11206,Kings
11207,Kings
11208,Kings
11209,Kings
11210,Kings
11211,Kings
11212,Kings
11213,Kings
11214,Kings
11215,Kings
11216,Kings
11217,Kings
11218,Kings
11219,Kings
11220,Kings
11221,Kings
11222,Kings
11223,Kings
11224,Kings
11225,Kings
11226,Kings
11228,Kings
11229,Kings
11230,Kings
11231,Kings
11232,Kings
11233,Kings
11234,Kings
11235,Kings
11236,Kings
11237,Kings
11238,Kings
11239,Kings
11354,Queens
11355,Queens
11356,Queens
11357,Queens
11358,Queens
11360,Queens
11361,Queens
11362,Queens
11363,Queens
11364,Queens
11365,Queens
11366,Queens
11367,Queens
11368,Queens
11369,Queens
11370,Bronx
11371,Queens
11372,Queens
11373,Queens
11374,Queens
11375,Queens
11377,Queens
11378,Queens
11379,Queens
11385,Queens
11411,Queens
11412,Queens
11413,Queens
11414,Queens
11415,Queens
11416,Queens
11417,Queens
11418,Queens
11419,Queens
11420,Queens
11421,Queens
11422,Queens
11423,Queens
11426,Queens
11427,Queens
11428,Queens
11429,Queens
11430,Queens
11432,Queens
11433,Queens
11434,Queens
11435,Queens
11436,Queens
11501,Nassau
11507,Nassau
11509,Nassau
11510,Nassau
11514,Nassau
11516,Nassau
11518,Nassau
11520,Nassau
11530,Nassau
11542,Nassau
11545,Nassau
11547,Nassau
11548,Nassau
11550,Nassau
11552,Nassau
11553,Nassau
11554,Nassau
11557,Nassau
11558,Nassau
11559,Nassau
11560,Nassau
11561,Nassau
11563,Nassau
11565,Nassau
11566,Nassau
11568,Nassau
11569,Nassau
11570,Nassau
11572,Nassau
11575,Nassau
11576,Nassau
11577,Nassau
11579,Nassau
11580,Nassau
11581,Nassau
11590,Nassau
11596,Nassau
11598,Nassau
11691,Queens
11692,Queens
11693,Queens
11694,Queens
11697,Queens
11701,Suffolk
11702,Suffolk
11703,Suffolk
11704,Suffolk
11705,Suffolk
11706,Suffolk
11709,Nassau
11710,Nassau
11713,Suffolk
11714,Nassau
11715,Suffolk
11716,Suffolk
11717,Suffolk
11718,Suffolk
11719,Suffolk
11720,Suffolk
11721,Suffolk
11722,Suffolk
11724,Suffolk
11725,Suffolk
11726,Suffolk
11727,Suffolk
11729,Suffolk
11730,Suffolk
11731,Suffolk
11732,Nassau
11733,Suffolk
11735,Suffolk
11738,Suffolk
11740,Suffolk
11741,Suffolk
11742,Suffolk
11743,Suffolk
11746,Suffolk
11747,Suffolk
11751,Suffolk
11752,Suffolk
11753,Nassau
11754,Suffolk
11755,Suffolk
11756,Nassau
11757,Suffolk
11758,Nassau
11762,Nassau
11763,Suffolk
11764,Suffolk
11765,Nassau
11766,Suffolk
11767,Suffolk
11768,Suffolk
11769,Suffolk
11770,Suffolk
11771,Nassau
11772,Suffolk
11776,Suffolk
11777,Suffolk
11778,Suffolk
11779,Suffolk
11780,Suffolk
11782,Suffolk
11783,Nassau
11784,Suffolk
11786,Suffolk
11787,Suffolk
11788,Suffolk
11789,Suffolk
11790,Suffolk
11791,Nassau
11792,Suffolk
11793,Nassau
11795,Suffolk
11796,Suffolk
11797,Nassau
11798,Suffolk
11801,Nassau
11803,Nassau
11804,Nassau
11901,Suffolk
11930,Suffolk
11932,Suffolk
11933,Suffolk
11934,Suffolk
11935,Suffolk
11937,Suffolk
11939,Suffolk
11940,Suffolk
11941,Suffolk
11942,Suffolk
11944,Suffolk
11946,Suffolk
11947,Suffolk
11948,Suffolk
11949,Suffolk
11950,Suffolk
11951,Suffolk
11952,Suffolk
11953,Suffolk
11954,Suffolk
11955,Suffolk
11956,Suffolk
11957,Suffolk
11958,Suffolk
11959,Suffolk
11960,Suffolk
11961,Suffolk
11962,Suffolk
11963,Suffolk
11964,Suffolk
11965,Suffolk
11967,Suffolk
11968,Suffolk
11970,Suffolk
11971,Suffolk
11972,Suffolk
11975,Suffolk
11976,Suffolk
11977,Suffolk
11978,Suffolk
11980,Suffolk
12008,Schenectady
12009,Albany
12010,Montgomery
12015,Greene
12017,Columbia
12018,Rensselaer
12019,Saratoga
12020,Saratoga
12022,Rensselaer
12023,Albany
12025,Fulton
12027,Saratoga
12028,Rensselaer
12029,Columbia
